App_ID,App_Name,Developer,Primary_Genre,Genres,User_Rating,Rating_Count,Price_USD,Type,Size_Bytes,Content_Rating,Last_Updated,Current_Version,Min_iOS_Version,In_App_Purchases,Supported_Devices
1616910453,Tracker,Meta Maker Ltd.,Games,"Games, Puzzle",5.0,3816498,0.0,Free,1281242501,12+,2026-02-18,7.34,17.0,No,"iPhone, iPad, iPod touch"
1016144585,Pay Online,Epic Health Ltd.,Social Networking,Social Networking,4.6,3654718,4.99,Paid,177934219,17+,2024-12-09,13.3,18.0,No,"Mac, iPhone, iPad"
1530831403,Maker Online,Smart Fit Ltd.,Weather,Weather,5.0,3604458,0.0,Free,109751867,4+,2024-12-24,20.28,16.0,Yes,iPhone only
1621267440,Connect 2023,Easy Studio Ltd.,Productivity,Productivity,4.4,3593687,0.0,Free,101875436,4+,2025-05-24,12.6.33,17.0,Yes,"iPhone, iPad, iPod touch"
1416005364,Quick Editor,i Connect Ltd.,Games,"Games, Simulation",4.3,3559409,0.0,Free,1744557391,9+,2024-02-10,16.47,13.0,Yes,iPhone only
303614326,Fit,My Craft Ltd.,Games,"Games, Simulation",4.3,3524496,0.0,Free,3039828868,4+,2025-01-29,10.38.12,17.0,No,iPhone only
1642529443,My Planner,Lite Drive Ltd.,Photo & Video,Photo & Video,4.8,3499238,0.0,Free,194469492,4+,2026-03-13,15.25.88,17.0,Yes,"iPhone, iPad, iPod touch"
1838859306,Drive,Ultra Pay Ltd.,Games,"Games, Simulation",5.0,3489434,0.0,Free,2854155863,12+,2026-01-10,16.16,17.0,Yes,"iPhone, iPad, iPod touch"
926770325,Learn 2025,Smart Learn Ltd.,News,News,3.6,3395213,0.0,Free,141563562,12+,2026-06-18,1.31,16.0,Yes,"iPhone, iPad, iPod touch"
1841858472,Maker AI,Ultra Maker Ltd.,Food & Drink,"Food & Drink, Utilities",4.0,3389014,0.0,Free,111332999,12+,2025-10-01,13.27,17.0,Yes,iPhone only
